2019-05-31 21:20:57, INFO: Using device: cuda:0
2019-05-31 21:21:04, INFO: Policy: FROZEN 
2019-05-31 21:21:04, INFO: human number: 5
2019-05-31 21:21:04, INFO: Not randomize human's radius and preferred speed
2019-05-31 21:21:04, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2019-05-31 21:21:04, INFO: Square width: 10.0, circle width: 4.0
2019-05-31 21:21:04, INFO: Starting imitation learning on 10000 training episodes and 10 validation episodes
2019-05-31 21:21:04, INFO: Current learning rate: 0.005000
2019-05-31 21:25:05, INFO: TRAIN has success rate: 1.00, collision rate: 0.00, nav time: 9.96, total reward: 0.6698
2019-05-31 21:32:19, DEBUG: Average loss on validation set on epoch 00, iter 100000: 2.05E-03
2019-05-31 21:32:19, DEBUG: Average loss on test set on epoch 00, iter 100000: 2.73E-03
2019-05-31 21:39:37, DEBUG: Average loss on validation set on epoch 01, iter 100000: 1.54E-03
2019-05-31 21:39:37, DEBUG: Average loss on test set on epoch 01, iter 100000: 1.69E-03
2019-05-31 21:46:43, DEBUG: Average loss on validation set on epoch 02, iter 100000: 1.23E-03
2019-05-31 21:46:43, DEBUG: Average loss on test set on epoch 02, iter 100000: 1.49E-03
2019-05-31 21:53:43, DEBUG: Average loss on validation set on epoch 03, iter 100000: 1.21E-03
2019-05-31 21:53:43, DEBUG: Average loss on test set on epoch 03, iter 100000: 1.35E-03
2019-05-31 22:00:56, DEBUG: Average loss on validation set on epoch 04, iter 100000: 1.47E-03
2019-05-31 22:00:56, DEBUG: Average loss on test set on epoch 04, iter 100000: 1.23E-03
2019-05-31 22:08:15, DEBUG: Average loss on validation set on epoch 05, iter 100000: 1.05E-03
2019-05-31 22:08:15, DEBUG: Average loss on test set on epoch 05, iter 100000: 1.13E-03
2019-05-31 22:15:34, DEBUG: Average loss on validation set on epoch 06, iter 100000: 9.63E-04
2019-05-31 22:15:34, DEBUG: Average loss on test set on epoch 06, iter 100000: 1.07E-03
2019-05-31 22:22:45, DEBUG: Average loss on validation set on epoch 07, iter 100000: 8.76E-04
2019-05-31 22:22:45, DEBUG: Average loss on test set on epoch 07, iter 100000: 1.01E-03
2019-05-31 22:30:01, DEBUG: Average loss on validation set on epoch 08, iter 100000: 1.17E-03
2019-05-31 22:30:01, DEBUG: Average loss on test set on epoch 08, iter 100000: 9.53E-04
2019-05-31 22:37:09, DEBUG: Average loss on validation set on epoch 09, iter 100000: 8.72E-04
2019-05-31 22:37:09, DEBUG: Average loss on test set on epoch 09, iter 100000: 9.07E-04
2019-05-31 22:44:15, DEBUG: Average loss on validation set on epoch 10, iter 100000: 8.34E-04
2019-05-31 22:44:15, DEBUG: Average loss on test set on epoch 10, iter 100000: 8.80E-04
2019-05-31 22:52:18, DEBUG: Average loss on validation set on epoch 11, iter 100000: 7.68E-04
2019-05-31 22:52:18, DEBUG: Average loss on test set on epoch 11, iter 100000: 8.54E-04
2019-05-31 23:04:18, DEBUG: Average loss on validation set on epoch 12, iter 100000: 9.86E-04
2019-05-31 23:04:18, DEBUG: Average loss on test set on epoch 12, iter 100000: 8.32E-04
2019-05-31 23:16:12, DEBUG: Average loss on validation set on epoch 13, iter 100000: 7.20E-04
2019-05-31 23:16:12, DEBUG: Average loss on test set on epoch 13, iter 100000: 8.03E-04
2019-05-31 23:23:42, DEBUG: Average loss on validation set on epoch 14, iter 100000: 7.37E-04
2019-05-31 23:23:42, DEBUG: Average loss on test set on epoch 14, iter 100000: 7.94E-04
2019-05-31 23:30:53, DEBUG: Average loss on validation set on epoch 15, iter 100000: 6.80E-04
2019-05-31 23:30:53, DEBUG: Average loss on test set on epoch 15, iter 100000: 7.78E-04
2019-05-31 23:38:15, DEBUG: Average loss on validation set on epoch 16, iter 100000: 6.75E-04
2019-05-31 23:38:15, DEBUG: Average loss on test set on epoch 16, iter 100000: 7.57E-04
2019-05-31 23:45:34, DEBUG: Average loss on validation set on epoch 17, iter 100000: 8.46E-04
2019-05-31 23:45:34, DEBUG: Average loss on test set on epoch 17, iter 100000: 7.47E-04
2019-05-31 23:52:50, DEBUG: Average loss on validation set on epoch 18, iter 100000: 7.21E-04
2019-05-31 23:52:50, DEBUG: Average loss on test set on epoch 18, iter 100000: 7.40E-04
2019-06-01 00:03:27, DEBUG: Average loss on validation set on epoch 19, iter 100000: 7.70E-04
2019-06-01 00:03:27, DEBUG: Average loss on test set on epoch 19, iter 100000: 7.27E-04
2019-06-01 00:16:50, DEBUG: Average loss on validation set on epoch 20, iter 100000: 7.67E-04
2019-06-01 00:16:50, DEBUG: Average loss on test set on epoch 20, iter 100000: 7.14E-04
2019-06-01 00:24:40, DEBUG: Average loss on validation set on epoch 21, iter 100000: 5.98E-04
2019-06-01 00:24:40, DEBUG: Average loss on test set on epoch 21, iter 100000: 7.04E-04
2019-06-01 00:31:53, DEBUG: Average loss on validation set on epoch 22, iter 100000: 7.05E-04
2019-06-01 00:31:53, DEBUG: Average loss on test set on epoch 22, iter 100000: 7.00E-04
